InvoiceId,OrderId,IssueDate,DueDate,AmountDue,PaidDate
INV-ORD-00000,ORD-00000,2026-08-03,2026-09-02,11292.52,
INV-ORD-00001,ORD-00001,2026-08-17,2026-09-16,19026.48,2026-09-06
INV-ORD-00002,ORD-00002,2026-07-09,2026-08-08,19072.9,
INV-ORD-00003,ORD-00003,2026-06-30,2026-07-30,15620.19,
INV-ORD-00005,ORD-00005,2026-07-29,2026-08-28,9653.0,2026-08-28
INV-ORD-00006,ORD-00006,2026-07-14,2026-08-13,10576.87,2026-08-05
INV-ORD-00008,ORD-00008,2026-07-19,2026-08-18,8091.26,
INV-ORD-00009,ORD-00009,2026-07-12,2026-08-11,8697.86,2026-08-04
INV-ORD-00010,ORD-00010,2026-08-06,2026-09-05,15421.05,2026-09-02
INV-ORD-00012,ORD-00012,2026-07-19,2026-08-18,9056.59,
INV-ORD-00013,ORD-00013,2026-08-10,2026-09-09,11301.58,2026-08-31
INV-ORD-00014,ORD-00014,2026-07-03,2026-08-02,16496.58,2026-07-25
INV-ORD-00015,ORD-00015,2026-07-10,2026-08-09,6100.7,
INV-ORD-00016,ORD-00016,2026-08-11,2026-09-10,3641.04,2026-09-10
INV-ORD-00017,ORD-00017,2026-06-29,2026-07-29,15087.16,2026-07-20
INV-ORD-00018,ORD-00018,2026-07-20,2026-08-19,11328.89,
INV-ORD-00019,ORD-00019,2026-07-12,2026-08-11,5867.85,2026-08-08
INV-ORD-00020,ORD-00020,2026-07-31,2026-08-30,2408.81,
INV-ORD-00021,ORD-00021,2026-07-09,2026-08-08,7902.51,
INV-ORD-00022,ORD-00022,2026-07-02,2026-08-01,12962.05,
INV-ORD-00023,ORD-00023,2026-08-16,2026-09-15,20356.57,2026-09-07
INV-ORD-00024,ORD-00024,2026-07-09,2026-08-08,19704.07,
INV-ORD-00025,ORD-00025,2026-07-10,2026-08-09,14698.8,
INV-ORD-00026,ORD-00026,2026-07-15,2026-08-14,6912.74,
INV-ORD-00027,ORD-00027,2026-07-07,2026-08-06,10324.64,2026-08-05
INV-ORD-00028,ORD-00028,2026-08-07,2026-09-06,4593.7,2026-08-29
INV-ORD-00030,ORD-00030,2026-08-09,2026-09-08,17960.47,
INV-ORD-00032,ORD-00032,2026-07-14,2026-08-13,8115.48,
INV-ORD-00033,ORD-00033,2026-07-15,2026-08-14,1859.55,
INV-ORD-00034,ORD-00034,2026-08-14,2026-09-13,10899.01,2026-09-07
INV-ORD-00035,ORD-00035,2026-07-15,2026-08-14,4433.9,2026-08-07
INV-ORD-00036,ORD-00036,2026-08-18,2026-09-17,21617.35,
INV-ORD-00037,ORD-00037,2026-07-16,2026-08-15,3798.0,
INV-ORD-00038,ORD-00038,2026-07-05,2026-08-04,5927.92,2026-08-03
INV-ORD-00039,ORD-00039,2026-08-19,2026-09-18,19305.45,2026-09-14
