MaterialId,SupplierId,Type,LotNumber,ReceivedDate,QuantityKg
MAT-7C46D1BB41,SUP-68D9A182,Cocoa Nibs,LOT-20260807-00,2026-08-07,1483.9
MAT-35A474700A,SUP-68D9A182,Cocoa Nibs,LOT-20260615-01,2026-06-15,3209.1
MAT-2AB64637A9,SUP-68D9A182,Cocoa Nibs,LOT-20260608-02,2026-06-08,1394.8
MAT-B68E4674E1,SUP-D3863FA3,Cocoa Nibs,LOT-20260521-00,2026-05-21,2952.2
MAT-AC023C491C,SUP-D3863FA3,Cocoa Nibs,LOT-20260721-01,2026-07-21,2521.4
MAT-9606CC4CF9,SUP-D3863FA3,Cocoa Nibs,LOT-20260714-02,2026-07-14,4142.4
MAT-6133072FC7,SUP-D3863FA3,Cocoa Nibs,LOT-20260818-03,2026-08-18,3914.6
MAT-FE28A88F50,SUP-D3863FA3,Cocoa Nibs,LOT-20260729-04,2026-07-29,3641.6
MAT-1DDE40EAC2,SUP-1E362D14,Cocoa Nibs,LOT-20260714-00,2026-07-14,1199.7
MAT-8B02DA264A,SUP-1E362D14,Cocoa Nibs,LOT-20260513-01,2026-05-13,2014.7
MAT-B5111400C2,SUP-1E362D14,Cocoa Nibs,LOT-20260807-02,2026-08-07,2209.7
MAT-A79C4270AD,SUP-1E362D14,Cocoa Nibs,LOT-20260704-03,2026-07-04,4313.7
MAT-C09B196904,SUP-AD8C893D,Sugar,LOT-20260716-00,2026-07-16,4132.1
MAT-DBF8F0EFBF,SUP-AD8C893D,Sugar,LOT-20260517-01,2026-05-17,2567.4
MAT-48D3233EC1,SUP-AD8C893D,Sugar,LOT-20260803-02,2026-08-03,4879.0
MAT-E6642DB006,SUP-AD8C893D,Sugar,LOT-20260701-03,2026-07-01,854.6
MAT-48A499D616,SUP-AD8C893D,Sugar,LOT-20260712-04,2026-07-12,4232.3
MAT-C833ECC695,SUP-9788BA24,Sugar,LOT-20260427-00,2026-04-27,4377.7
MAT-F70BAC61CC,SUP-9788BA24,Sugar,LOT-20260606-01,2026-06-06,1365.3
MAT-8E006589DA,SUP-9788BA24,Sugar,LOT-20260810-02,2026-08-10,706.2
MAT-AEA3468B17,SUP-9788BA24,Sugar,LOT-20260720-03,2026-07-20,3978.8
MAT-8F6820C665,SUP-9788BA24,Sugar,LOT-20260808-04,2026-08-08,4348.9
MAT-DFA086946B,SUP-DCFBE114,Milk,LOT-20260701-00,2026-07-01,1750.9
MAT-EDDDCE9485,SUP-DCFBE114,Milk,LOT-20260529-01,2026-05-29,4253.5
MAT-6E576FB1FA,SUP-DCFBE114,Milk,LOT-20260729-02,2026-07-29,2165.8
MAT-D388C5C5F6,SUP-4FDB1645,Milk,LOT-20260525-00,2026-05-25,1701.4
MAT-B9900A58E8,SUP-4FDB1645,Milk,LOT-20260421-01,2026-04-21,3576.0
MAT-D8C2E68045,SUP-4FDB1645,Milk,LOT-20260809-02,2026-08-09,3241.1
MAT-7597917C54,SUP-E64892F4,Packaging,LOT-20260611-00,2026-06-11,3781.1
MAT-9172E1B483,SUP-E64892F4,Packaging,LOT-20260729-01,2026-07-29,2580.2
MAT-8208714342,SUP-E64892F4,Packaging,LOT-20260715-02,2026-07-15,4952.9
MAT-17EEE49433,SUP-25A8909D,Packaging,LOT-20260522-00,2026-05-22,3006.3
MAT-7C004AB0F7,SUP-25A8909D,Packaging,LOT-20260523-01,2026-05-23,1959.3
MAT-3CEC4907BB,SUP-25A8909D,Packaging,LOT-20260512-02,2026-05-12,3992.0
MAT-5EC82506E4,SUP-25A8909D,Packaging,LOT-20260720-03,2026-07-20,4198.1
MAT-02A70AC2FE,SUP-25A8909D,Packaging,LOT-20260507-04,2026-05-07,1919.5
