OrderLineId,OrderId,ProductId,QuantityKg,UnitPrice
ORD-00000-L1,ORD-00000,PROD-RCP-WHITE-Bar,302.4,9.57
ORD-00000-L2,ORD-00000,PROD-RCP-MILK35-IndividuallyWrapped,475.3,17.67
ORD-00001-L1,ORD-00001,PROD-RCP-WHITE-Bar,107.4,12.32
ORD-00001-L2,ORD-00001,PROD-RCP-DARK70-GiftBox,454.5,19.15
ORD-00001-L3,ORD-00001,PROD-RCP-MILK35-IndividuallyWrapped,437.3,20.58
ORD-00002-L1,ORD-00002,PROD-RCP-MILK35-IndividuallyWrapped,439.1,21.67
ORD-00002-L2,ORD-00002,PROD-RCP-DARK70-GiftBox,414.8,20.34
ORD-00002-L3,ORD-00002,PROD-RCP-DARK70-Bar,61.2,18.31
ORD-00003-L1,ORD-00003,PROD-RCP-DARK70-GiftBox,404.3,9.51
ORD-00003-L2,ORD-00003,PROD-RCP-MILK35-Bar,442.5,20.02
ORD-00003-L3,ORD-00003,PROD-RCP-DARK70-Bar,150.1,19.43
ORD-00004-L1,ORD-00004,PROD-RCP-MILK35-IndividuallyWrapped,197.7,20.1
ORD-00005-L1,ORD-00005,PROD-RCP-WHITE-Bar,472.7,9.61
ORD-00005-L2,ORD-00005,PROD-RCP-MILK35-Bar,486.7,10.5
ORD-00006-L1,ORD-00006,PROD-RCP-MILK35-Bar,492.9,9.62
ORD-00006-L2,ORD-00006,PROD-RCP-MILK35-IndividuallyWrapped,454.8,10.66
ORD-00006-L3,ORD-00006,PROD-RCP-WHITE-Bar,70.0,14.1
ORD-00007-L1,ORD-00007,PROD-RCP-DARK70-GiftBox,81.5,17.3
ORD-00007-L2,ORD-00007,PROD-RCP-MILK35-Bar,198.6,12.39
ORD-00007-L3,ORD-00007,PROD-RCP-WHITE-Bar,431.6,18.08
ORD-00008-L1,ORD-00008,PROD-RCP-MILK35-Bar,363.7,15.76
ORD-00008-L2,ORD-00008,PROD-RCP-MILK35-IndividuallyWrapped,136.3,17.31
ORD-00009-L1,ORD-00009,PROD-RCP-WHITE-Bar,186.7,10.94
ORD-00009-L2,ORD-00009,PROD-RCP-DARK70-Bar,403.6,16.49
ORD-00010-L1,ORD-00010,PROD-RCP-DARK70-GiftBox,282.0,16.86
ORD-00010-L2,ORD-00010,PROD-RCP-DARK70-Bar,200.8,19.46
ORD-00010-L3,ORD-00010,PROD-RCP-WHITE-Bar,388.0,17.42
ORD-00011-L1,ORD-00011,PROD-RCP-WHITE-Bar,254.9,20.41
ORD-00011-L2,ORD-00011,PROD-RCP-DARK70-Bar,309.1,18.06
