UsageId,BatchId,MaterialId,QuantityKg
USE-0000-COCO,BATCH-FAC-GRU-L1-20260816-cfbf,MAT-A6CEF730B7,379.8
USE-0000-SUGA,BATCH-FAC-GRU-L1-20260816-cfbf,MAT-73DB5E0ECF,298.1
USE-0000-PACK,BATCH-FAC-GRU-L1-20260816-cfbf,MAT-27D46B4664,391.6
USE-0001-COCO,BATCH-FAC-CHI-L1-20260708-d166,MAT-DBAF5B7F9F,82.7
USE-0001-MILK,BATCH-FAC-CHI-L1-20260708-d166,MAT-E9049B3FCF,351.5
USE-0001-SUGA,BATCH-FAC-CHI-L1-20260708-d166,MAT-4BFE215CDA,386.5
USE-0001-PACK,BATCH-FAC-CHI-L1-20260708-d166,MAT-75A2D297F5,290.9
USE-0002-COCO,BATCH-FAC-SIN-L3-20260709-9a54,MAT-D715020F90,361.9
USE-0002-MILK,BATCH-FAC-SIN-L3-20260709-9a54,MAT-220DB5B21F,66.0
USE-0002-SUGA,BATCH-FAC-SIN-L3-20260709-9a54,MAT-8B113A99EF,44.3
USE-0002-PACK,BATCH-FAC-SIN-L3-20260709-9a54,MAT-B21CD00C3D,243.6
USE-0003-COCO,BATCH-FAC-CHI-L3-20260805-42d3,MAT-20762EE639,289.0
USE-0003-SUGA,BATCH-FAC-CHI-L3-20260805-42d3,MAT-711DAF311A,107.0
USE-0003-PACK,BATCH-FAC-CHI-L3-20260805-42d3,MAT-B21CD00C3D,346.7
USE-0004-COCO,BATCH-FAC-BCN-L3-20260804-e002,MAT-C7A2571ACA,204.5
USE-0004-MILK,BATCH-FAC-BCN-L3-20260804-e002,MAT-E9049B3FCF,70.3
USE-0004-SUGA,BATCH-FAC-BCN-L3-20260804-e002,MAT-761E379627,239.0
USE-0004-PACK,BATCH-FAC-BCN-L3-20260804-e002,MAT-75A2D297F5,318.2
USE-0005-COCO,BATCH-FAC-SIN-L1-20260813-6837,MAT-C7A2571ACA,183.8
USE-0005-SUGA,BATCH-FAC-SIN-L1-20260813-6837,MAT-4BFE215CDA,176.2
USE-0005-PACK,BATCH-FAC-SIN-L1-20260813-6837,MAT-B21CD00C3D,275.9
USE-0006-MILK,BATCH-FAC-BCN-L1-20260725-ff3f,MAT-8C091B4452,324.2
USE-0006-SUGA,BATCH-FAC-BCN-L1-20260725-ff3f,MAT-73DB5E0ECF,114.5
USE-0006-PACK,BATCH-FAC-BCN-L1-20260725-ff3f,MAT-75A2D297F5,223.8
USE-0007-COCO,BATCH-FAC-CHI-L2-20260808-d189,MAT-D715020F90,114.9
USE-0007-MILK,BATCH-FAC-CHI-L2-20260808-d189,MAT-62E2BFD47E,188.4
USE-0007-SUGA,BATCH-FAC-CHI-L2-20260808-d189,MAT-B3FD3C158A,57.2
USE-0007-PACK,BATCH-FAC-CHI-L2-20260808-d189,MAT-B21CD00C3D,388.2
USE-0008-COCO,BATCH-FAC-CHI-L1-20260724-09c2,MAT-D715020F90,101.2
USE-0008-MILK,BATCH-FAC-CHI-L1-20260724-09c2,MAT-220DB5B21F,362.9
USE-0008-SUGA,BATCH-FAC-CHI-L1-20260724-09c2,MAT-06AEE2CC63,164.0
USE-0008-PACK,BATCH-FAC-CHI-L1-20260724-09c2,MAT-0C36C0567E,120.8
USE-0009-MILK,BATCH-FAC-SIN-L2-20260723-011c,MAT-9E3B54FE41,398.3
USE-0009-SUGA,BATCH-FAC-SIN-L2-20260723-011c,MAT-B3FD3C158A,271.5
USE-0009-PACK,BATCH-FAC-SIN-L2-20260723-011c,MAT-BC85F09A88,78.8
USE-0010-MILK,BATCH-FAC-GRU-L1-20260816-1e69,MAT-9E3B54FE41,226.0
USE-0010-SUGA,BATCH-FAC-GRU-L1-20260816-1e69,MAT-675C4778F8,41.7
USE-0010-PACK,BATCH-FAC-GRU-L1-20260816-1e69,MAT-BC85F09A88,211.1
USE-0011-COCO,BATCH-FAC-CHI-L1-20260718-d102,MAT-95F59D7E7E,46.0
USE-0011-SUGA,BATCH-FAC-CHI-L1-20260718-d102,MAT-73DB5E0ECF,276.6
