InventoryId,FactoryId,MaterialId,QuantityOnHand,ReorderLevel,LastUpdated
INV-FAC-BCN-CocoaNibs,FAC-BCN,MAT-8B02DA264A,1369.5,800.0,2026-08-17
INV-FAC-BCN-Sugar,FAC-BCN,MAT-8E006589DA,1273.9,500.0,2026-08-18
INV-FAC-BCN-Milk,FAC-BCN,MAT-B9900A58E8,544.6,300.0,2026-08-17
INV-FAC-BCN-Packaging,FAC-BCN,MAT-5EC82506E4,2342.5,1000.0,2026-08-17
INV-FAC-CHI-CocoaNibs,FAC-CHI,MAT-1DDE40EAC2,3194.3,800.0,2026-08-16
INV-FAC-CHI-Sugar,FAC-CHI,MAT-DBF8F0EFBF,213.0,500.0,2026-08-18
INV-FAC-CHI-Milk,FAC-CHI,MAT-D388C5C5F6,1019.1,300.0,2026-08-19
INV-FAC-CHI-Packaging,FAC-CHI,MAT-02A70AC2FE,2828.1,1000.0,2026-08-17
INV-FAC-GRU-CocoaNibs,FAC-GRU,MAT-7C46D1BB41,2877.0,800.0,2026-08-19
INV-FAC-GRU-Sugar,FAC-GRU,MAT-48A499D616,1328.6,500.0,2026-08-17
INV-FAC-GRU-Milk,FAC-GRU,MAT-D388C5C5F6,191.7,300.0,2026-08-19
INV-FAC-GRU-Packaging,FAC-GRU,MAT-7C004AB0F7,3640.0,1000.0,2026-08-18
INV-FAC-SIN-CocoaNibs,FAC-SIN,MAT-B5111400C2,1126.9,800.0,2026-08-17
INV-FAC-SIN-Sugar,FAC-SIN,MAT-E6642DB006,1286.1,500.0,2026-08-18
INV-FAC-SIN-Milk,FAC-SIN,MAT-B9900A58E8,470.5,300.0,2026-08-19
INV-FAC-SIN-Packaging,FAC-SIN,MAT-9172E1B483,2517.0,1000.0,2026-08-17
