InvoiceId,OrderId,IssueDate,DueDate,AmountDue,PaidDate
INV-ORD-00000,ORD-00000,2026-06-22,2026-07-22,13588.31,2026-07-12
INV-ORD-00002,ORD-00002,2026-07-02,2026-08-01,1522.53,
INV-ORD-00003,ORD-00003,2026-08-01,2026-08-31,8821.39,
INV-ORD-00004,ORD-00004,2026-06-26,2026-07-26,4599.07,
INV-ORD-00005,ORD-00005,2026-08-15,2026-09-14,7927.12,2026-09-08
INV-ORD-00006,ORD-00006,2026-08-15,2026-09-14,13428.83,
INV-ORD-00007,ORD-00007,2026-06-24,2026-07-24,9795.16,2026-07-14
INV-ORD-00008,ORD-00008,2026-06-29,2026-07-29,2678.13,
INV-ORD-00010,ORD-00010,2026-06-23,2026-07-23,9788.79,
INV-ORD-00011,ORD-00011,2026-07-01,2026-07-31,4345.7,
INV-ORD-00012,ORD-00012,2026-06-28,2026-07-28,5310.09,
INV-ORD-00013,ORD-00013,2026-06-30,2026-07-30,10343.57,
INV-ORD-00014,ORD-00014,2026-07-10,2026-08-09,7098.78,2026-08-04
INV-ORD-00015,ORD-00015,2026-07-03,2026-08-02,16802.69,2026-07-30
INV-ORD-00017,ORD-00017,2026-08-14,2026-09-13,7820.95,2026-09-04
INV-ORD-00018,ORD-00018,2026-06-28,2026-07-28,11500.01,
INV-ORD-00020,ORD-00020,2026-08-13,2026-09-12,10320.28,2026-09-02
INV-ORD-00021,ORD-00021,2026-08-01,2026-08-31,9918.08,2026-08-21
INV-ORD-00022,ORD-00022,2026-07-21,2026-08-20,3753.43,2026-08-12
INV-ORD-00023,ORD-00023,2026-08-01,2026-08-31,14788.72,
INV-ORD-00024,ORD-00024,2026-06-26,2026-07-26,5118.95,
INV-ORD-00026,ORD-00026,2026-07-16,2026-08-15,15268.5,2026-08-06
INV-ORD-00027,ORD-00027,2026-08-06,2026-09-05,4488.23,
INV-ORD-00028,ORD-00028,2026-06-27,2026-07-27,15489.0,2026-07-25
INV-ORD-00029,ORD-00029,2026-07-14,2026-08-13,8285.27,2026-08-10
INV-ORD-00030,ORD-00030,2026-07-26,2026-08-25,2385.11,2026-08-16
INV-ORD-00031,ORD-00031,2026-06-25,2026-07-25,661.74,
INV-ORD-00032,ORD-00032,2026-07-14,2026-08-13,7750.38,2026-08-13
INV-ORD-00034,ORD-00034,2026-07-02,2026-08-01,5512.64,
INV-ORD-00035,ORD-00035,2026-07-01,2026-07-31,8253.23,
INV-ORD-00036,ORD-00036,2026-07-25,2026-08-24,7243.72,
INV-ORD-00037,ORD-00037,2026-07-24,2026-08-23,4832.1,2026-08-19
INV-ORD-00038,ORD-00038,2026-07-31,2026-08-30,2685.12,
INV-ORD-00039,ORD-00039,2026-06-25,2026-07-25,2414.09,
