MaterialId,SupplierId,Type,LotNumber,ReceivedDate,QuantityKg
MAT-FD2CD3FF8F,SUP-68D9A182,Cocoa Nibs,LOT-20260807-00,2026-08-07,1483.9
MAT-20762EE639,SUP-68D9A182,Cocoa Nibs,LOT-20260615-01,2026-06-15,3209.1
MAT-95F59D7E7E,SUP-68D9A182,Cocoa Nibs,LOT-20260608-02,2026-06-08,1394.8
MAT-4B869F29D9,SUP-D3863FA3,Cocoa Nibs,LOT-20260521-00,2026-05-21,2952.2
MAT-B267BFDD82,SUP-D3863FA3,Cocoa Nibs,LOT-20260721-01,2026-07-21,2521.4
MAT-3A661A3BE9,SUP-D3863FA3,Cocoa Nibs,LOT-20260714-02,2026-07-14,4142.4
MAT-F2F24B29FA,SUP-D3863FA3,Cocoa Nibs,LOT-20260818-03,2026-08-18,3914.6
MAT-D715020F90,SUP-D3863FA3,Cocoa Nibs,LOT-20260729-04,2026-07-29,3641.6
MAT-DBAF5B7F9F,SUP-1E362D14,Cocoa Nibs,LOT-20260714-00,2026-07-14,1199.7
MAT-A6CEF730B7,SUP-1E362D14,Cocoa Nibs,LOT-20260513-01,2026-05-13,2014.7
MAT-C7A2571ACA,SUP-1E362D14,Cocoa Nibs,LOT-20260807-02,2026-08-07,2209.7
MAT-864B061F30,SUP-1E362D14,Cocoa Nibs,LOT-20260704-03,2026-07-04,4313.7
MAT-711DAF311A,SUP-AD8C893D,Sugar,LOT-20260716-00,2026-07-16,4132.1
MAT-73DB5E0ECF,SUP-AD8C893D,Sugar,LOT-20260517-01,2026-05-17,2567.4
MAT-06AEE2CC63,SUP-AD8C893D,Sugar,LOT-20260803-02,2026-08-03,4879.0
MAT-8B113A99EF,SUP-AD8C893D,Sugar,LOT-20260701-03,2026-07-01,854.6
MAT-06E236740A,SUP-AD8C893D,Sugar,LOT-20260712-04,2026-07-12,4232.3
MAT-675C4778F8,SUP-9788BA24,Sugar,LOT-20260427-00,2026-04-27,4377.7
MAT-4BFE215CDA,SUP-9788BA24,Sugar,LOT-20260606-01,2026-06-06,1365.3
MAT-354B92745F,SUP-9788BA24,Sugar,LOT-20260810-02,2026-08-10,706.2
MAT-B3FD3C158A,SUP-9788BA24,Sugar,LOT-20260720-03,2026-07-20,3978.8
MAT-761E379627,SUP-9788BA24,Sugar,LOT-20260808-04,2026-08-08,4348.9
MAT-62E2BFD47E,SUP-DCFBE114,Milk,LOT-20260701-00,2026-07-01,1750.9
MAT-9FA7433EE3,SUP-DCFBE114,Milk,LOT-20260529-01,2026-05-29,4253.5
MAT-8C091B4452,SUP-DCFBE114,Milk,LOT-20260729-02,2026-07-29,2165.8
MAT-220DB5B21F,SUP-4FDB1645,Milk,LOT-20260525-00,2026-05-25,1701.4
MAT-E9049B3FCF,SUP-4FDB1645,Milk,LOT-20260421-01,2026-04-21,3576.0
MAT-9E3B54FE41,SUP-4FDB1645,Milk,LOT-20260809-02,2026-08-09,3241.1
MAT-B21CD00C3D,SUP-E64892F4,Packaging,LOT-20260611-00,2026-06-11,3781.1
MAT-27D46B4664,SUP-E64892F4,Packaging,LOT-20260729-01,2026-07-29,2580.2
MAT-28142666CD,SUP-E64892F4,Packaging,LOT-20260715-02,2026-07-15,4952.9
MAT-75A2D297F5,SUP-25A8909D,Packaging,LOT-20260522-00,2026-05-22,3006.3
MAT-FFFBDC9C26,SUP-25A8909D,Packaging,LOT-20260523-01,2026-05-23,1959.3
MAT-626E4893C5,SUP-25A8909D,Packaging,LOT-20260512-02,2026-05-12,3992.0
MAT-0C36C0567E,SUP-25A8909D,Packaging,LOT-20260720-03,2026-07-20,4198.1
MAT-BC85F09A88,SUP-25A8909D,Packaging,LOT-20260507-04,2026-05-07,1919.5
