OrderLineId,OrderId,ProductId,QuantityKg,UnitPrice
ORD-00000-L1,ORD-00000,PROD-RCP-DARK70-GiftBox,486.5,9.05
ORD-00000-L2,ORD-00000,PROD-RCP-MILK35-IndividuallyWrapped,401.7,11.71
ORD-00000-L3,ORD-00000,PROD-RCP-MILK35-Bar,330.5,13.56
ORD-00001-L1,ORD-00001,PROD-RCP-MILK35-IndividuallyWrapped,80.8,16.84
ORD-00001-L2,ORD-00001,PROD-RCP-DARK70-Bar,464.4,21.96
ORD-00001-L3,ORD-00001,PROD-RCP-MILK35-Bar,386.0,14.08
ORD-00002-L1,ORD-00002,PROD-RCP-MILK35-IndividuallyWrapped,124.9,12.19
ORD-00003-L1,ORD-00003,PROD-RCP-DARK70-GiftBox,289.0,15.92
ORD-00003-L2,ORD-00003,PROD-RCP-WHITE-Bar,406.6,10.38
ORD-00004-L1,ORD-00004,PROD-RCP-DARK70-GiftBox,114.4,14.46
ORD-00004-L2,ORD-00004,PROD-RCP-MILK35-IndividuallyWrapped,164.3,11.57
ORD-00004-L3,ORD-00004,PROD-RCP-MILK35-Bar,54.2,19.26
ORD-00005-L1,ORD-00005,PROD-RCP-WHITE-Bar,337.5,13.94
ORD-00005-L2,ORD-00005,PROD-RCP-MILK35-Bar,162.5,19.83
ORD-00006-L1,ORD-00006,PROD-RCP-MILK35-Bar,182.9,21.69
ORD-00006-L2,ORD-00006,PROD-RCP-WHITE-Bar,346.2,11.84
ORD-00006-L3,ORD-00006,PROD-RCP-MILK35-IndividuallyWrapped,304.7,17.6
ORD-00007-L1,ORD-00007,PROD-RCP-MILK35-Bar,323.2,12.93
ORD-00007-L2,ORD-00007,PROD-RCP-DARK70-GiftBox,336.5,16.69
ORD-00008-L1,ORD-00008,PROD-RCP-DARK70-Bar,189.0,14.17
ORD-00009-L1,ORD-00009,PROD-RCP-MILK35-IndividuallyWrapped,140.4,19.01
ORD-00009-L2,ORD-00009,PROD-RCP-DARK70-GiftBox,444.4,13.12
ORD-00010-L1,ORD-00010,PROD-RCP-MILK35-Bar,461.3,21.22
ORD-00011-L1,ORD-00011,PROD-RCP-DARK70-GiftBox,389.4,11.16
ORD-00012-L1,ORD-00012,PROD-RCP-DARK70-Bar,56.3,15.51
ORD-00012-L2,ORD-00012,PROD-RCP-MILK35-IndividuallyWrapped,254.7,17.42
ORD-00013-L1,ORD-00013,PROD-RCP-DARK70-Bar,262.2,16.67
