OrderId,CustomerId,OrderDate,Status,TotalAmount,Currency
ORD-00000,CUST-479A79C6,2026-06-21,Delivered,13588.31,USD
ORD-00001,CUST-479A79C6,2026-07-25,Cancelled,16993.78,USD
ORD-00002,CUST-7D9FEB9A,2026-07-01,Delivered,1522.53,USD
ORD-00003,CUST-7EC56DA0,2026-07-31,Shipped,8821.39,USD
ORD-00004,CUST-A6A3E65D,2026-06-24,Shipped,4599.07,USD
ORD-00005,CUST-0AADF842,2026-08-14,Delivered,7927.12,USD
ORD-00006,CUST-8F72912C,2026-08-12,Shipped,13428.83,USD
ORD-00007,CUST-7EC56DA0,2026-06-21,Delivered,9795.16,USD
ORD-00008,CUST-3A4ED2D4,2026-06-26,Confirmed,2678.13,USD
ORD-00009,CUST-0AADF842,2026-08-13,Cancelled,8499.53,USD
ORD-00010,CUST-479A79C6,2026-06-21,Shipped,9788.79,USD
ORD-00011,CUST-0FD13428,2026-06-28,Confirmed,4345.7,USD
ORD-00012,CUST-BB502C75,2026-06-25,Delivered,5310.09,USD
ORD-00013,CUST-BB502C75,2026-06-27,Delivered,10343.57,USD
ORD-00014,CUST-7D9FEB9A,2026-07-09,Delivered,7098.78,USD
ORD-00015,CUST-3A4ED2D4,2026-07-02,Delivered,16802.69,USD
ORD-00016,CUST-0FD13428,2026-08-12,Cancelled,11256.15,USD
ORD-00017,CUST-8F72912C,2026-08-13,Delivered,7820.95,USD
ORD-00018,CUST-AF4E465A,2026-06-27,Delivered,11500.01,USD
ORD-00019,CUST-7EC56DA0,2026-08-10,Draft,2043.11,USD
ORD-00020,CUST-7EC56DA0,2026-08-10,Delivered,10320.28,USD
ORD-00021,CUST-479A79C6,2026-07-30,Delivered,9918.08,USD
ORD-00022,CUST-7D9FEB9A,2026-07-18,Delivered,3753.43,USD
ORD-00023,CUST-5A1B9BE3,2026-07-29,Shipped,14788.72,USD
ORD-00024,CUST-5A1B9BE3,2026-06-24,Shipped,5118.95,USD
ORD-00025,CUST-3B7AF50F,2026-07-26,Cancelled,12222.61,USD
ORD-00026,CUST-A6A3E65D,2026-07-14,Delivered,15268.5,USD
ORD-00027,CUST-479A79C6,2026-08-05,Confirmed,4488.23,USD
ORD-00028,CUST-BB502C75,2026-06-25,Delivered,15489.0,USD
ORD-00029,CUST-0AADF842,2026-07-13,Delivered,8285.27,USD
ORD-00030,CUST-BB502C75,2026-07-23,Delivered,2385.11,USD
ORD-00031,CUST-7D9FEB9A,2026-06-23,Confirmed,661.74,USD
ORD-00032,CUST-8F72912C,2026-07-11,Delivered,7750.38,USD
ORD-00033,CUST-AF4E465A,2026-07-24,Cancelled,3014.66,USD
ORD-00034,CUST-0AADF842,2026-07-01,Shipped,5512.64,USD
ORD-00035,CUST-3A4ED2D4,2026-06-28,Shipped,8253.23,USD
ORD-00036,CUST-3A4ED2D4,2026-07-23,Shipped,7243.72,USD
ORD-00037,CUST-7D9FEB9A,2026-07-22,Delivered,4832.1,USD
ORD-00038,CUST-5A1B9BE3,2026-07-28,Shipped,2685.12,USD
ORD-00039,CUST-AF4E465A,2026-06-22,Delivered,2414.09,USD
