ShipmentId,FromFactoryId,ToLocationId,BatchId,Carrier,DepartDate,ArriveDate,Status
SHIP-0000,FAC-BCN,DC-EU-1,BATCH-FAC-BCN-L1-20260801-33da,FedEx Trade Networks,2026-08-01,2026-08-05,Delivered
SHIP-0001,FAC-CHI,DC-APAC-3,BATCH-FAC-CHI-L3-20260816-00ed,DHL Freight,2026-08-16,2026-08-27,Delivered
SHIP-0002,FAC-SIN,DC-LATAM-3,BATCH-FAC-SIN-L2-20260805-4507,FedEx Trade Networks,2026-08-05,2026-08-17,Delivered
SHIP-0003,FAC-BCN,DC-EU-1,BATCH-FAC-BCN-L3-20260731-048c,DHL Freight,2026-07-31,2026-08-07,Delivered
SHIP-0004,FAC-BCN,DC-EU-1,BATCH-FAC-BCN-L1-20260814-155f,Kuehne+Nagel,2026-08-14,2026-08-24,InTransit
SHIP-0005,FAC-SIN,DC-LATAM-3,BATCH-FAC-SIN-L2-20260810-d62f,Kuehne+Nagel,2026-08-10,,Pending
SHIP-0006,FAC-BCN,DC-LATAM-3,BATCH-FAC-BCN-L3-20260729-e771,DHL Freight,2026-07-29,2026-08-07,InTransit
SHIP-0007,FAC-BCN,DC-NA-2,BATCH-FAC-BCN-L1-20260802-59b4,Maersk Line,2026-08-02,2026-08-05,InTransit
SHIP-0008,FAC-CHI,DC-LATAM-2,BATCH-FAC-CHI-L1-20260725-68bc,Kuehne+Nagel,2026-07-25,2026-08-08,InTransit
SHIP-0009,FAC-GRU,DC-LATAM-3,BATCH-FAC-GRU-L3-20260728-3d07,Kuehne+Nagel,2026-07-28,2026-08-07,InTransit
SHIP-0010,FAC-BCN,DC-APAC-3,BATCH-FAC-BCN-L2-20260731-4a6f,FedEx Trade Networks,2026-07-31,,Pending
SHIP-0011,FAC-BCN,DC-EU-3,BATCH-FAC-BCN-L2-20260817-43d0,Maersk Line,2026-08-17,2026-08-22,InTransit
SHIP-0012,FAC-SIN,DC-LATAM-1,BATCH-FAC-SIN-L3-20260803-6ee8,Kuehne+Nagel,2026-08-03,2026-08-16,Delivered
SHIP-0013,FAC-SIN,DC-APAC-2,BATCH-FAC-SIN-L2-20260817-c004,Maersk Line,2026-08-17,2026-08-22,InTransit
SHIP-0014,FAC-GRU,DC-LATAM-3,BATCH-FAC-GRU-L2-20260806-503f,Maersk Line,2026-08-06,2026-08-16,Delivered
SHIP-0015,FAC-BCN,DC-EU-2,BATCH-FAC-BCN-L3-20260809-df87,Maersk Line,2026-08-09,2026-08-22,InTransit
SHIP-0016,FAC-SIN,DC-LATAM-3,BATCH-FAC-SIN-L2-20260806-3d35,Kuehne+Nagel,2026-08-06,,Pending
SHIP-0017,FAC-BCN,DC-NA-2,BATCH-FAC-BCN-L2-20260813-b50c,Kuehne+Nagel,2026-08-13,2026-08-17,InTransit
SHIP-0018,FAC-BCN,DC-NA-3,BATCH-FAC-BCN-L1-20260730-fed3,FedEx Trade Networks,2026-07-30,2026-08-10,Delivered
SHIP-0019,FAC-BCN,DC-NA-1,BATCH-FAC-BCN-L2-20260802-52e2,Maersk Line,2026-08-02,2026-08-15,InTransit
SHIP-0020,FAC-CHI,DC-LATAM-3,BATCH-FAC-CHI-L3-20260804-0c7a,FedEx Trade Networks,2026-08-04,2026-08-13,Delivered
SHIP-0021,FAC-SIN,DC-NA-2,BATCH-FAC-SIN-L1-20260804-f995,DHL Freight,2026-08-04,2026-08-08,InTransit
SHIP-0022,FAC-GRU,DC-APAC-2,BATCH-FAC-GRU-L3-20260726-d4d0,FedEx Trade Networks,2026-07-26,2026-07-29,Delivered
SHIP-0023,FAC-GRU,DC-APAC-1,BATCH-FAC-GRU-L2-20260727-13e6,Kuehne+Nagel,2026-07-27,2026-08-04,InTransit
